"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","GCTA_total","prop_total","sub_GCTA_total","sub_prop_total","x_dist","p","pro","data_gen_model","est_model","sub_GCTA_total_var","sub_prop_total_var"
88.1509153554531,22.2681063731297,37.0613063831453,147.480328111728,170.045393293195,148.397031238979,180.056792610087,139.818775258939,"chi",33,0.75,"main+inter","total",6.91433635879395,7.606793183799
32.824496462194,20.3455201023394,-19.6701755377394,33.499841026794,122.687460014836,30.4369729255347,120.370596166439,30.4770560000173,"chi",33,0.75,"main+inter","total",7.36784534010714,2.02937225968808
43.2918837570283,34.2059767079156,16.9634349367467,94.4612954016906,144.355160784415,94.2545954261463,150.698927345608,90.5457956256134,"chi",33,0.75,"main+inter","total",7.2593373823655,9.06891196538466
22.8628364977919,24.7925953775155,1.99710942438998,49.6525412996974,135.031753854773,45.6484858454195,131.373459036453,44.3398744843581,"chi",33,0.75,"main+inter","total",6.74651531464382,3.7309132403348
71.0164501555565,32.6536808454421,-26.7402472639519,76.9298837370468,154.085900587122,75.2166992995709,157.363014768424,72.0659800456286,"chi",33,0.75,"main+inter","total",6.93875996729891,4.88353418635765
32.2582987557738,28.0495538315625,-11.8800187650284,48.4278338223079,112.975559838188,45.6132973410444,115.08533506175,45.4367126861778,"chi",33,0.75,"main+inter","total",7.83680688818162,3.6767464533679
27.7496700567042,23.6192422741226,5.24632292469028,56.615235255517,113.674678106627,56.5932178349149,119.958527066183,54.2781453266043,"chi",33,0.75,"main+inter","total",5.66009147252678,5.83173081702997
58.994417416846,37.1161477401776,-17.5211924024297,78.5893727545939,141.305068922203,78.6940312505962,142.072326884887,73.7026717991348,"chi",33,0.75,"main+inter","total",6.94311076508779,13.9290883512667
65.5386004444468,31.0061987713922,-37.6469155131121,58.8978837027269,185.742405480908,60.2952309282853,198.665350720793,59.9663053553504,"chi",33,0.75,"main+inter","total",8.34654968665162,3.3472664444905
35.8258911589097,32.6923228065518,-23.3995335815758,45.1186803838857,145.112317183427,47.1012175748483,149.913125191341,46.0999792827529,"chi",33,0.75,"main+inter","total",6.92245920365414,3.4860176965406
30.6384961515567,18.6938598423639,5.41602361642711,54.7483796103477,97.1056743237837,54.1485849692853,99.210070674111,53.1983516652075,"chi",33,0.75,"main+inter","total",6.02874720245604,3.8588981526034
35.6281959770068,22.3054532763361,-15.5299204399117,42.4037288134312,113.129102063472,40.7797354165858,118.650276798066,40.1515766352189,"chi",33,0.75,"main+inter","total",6.65059344201842,2.22189825816096
27.998841932965,39.683097830346,-12.0854069382842,55.5965328250268,140.335225452206,48.7799109679925,145.99732475152,49.938443998689,"chi",33,0.75,"main+inter","total",10.1796245157853,5.31183960105267
23.6679164427846,39.9710508138936,-4.36418000395153,59.2747872527266,113.572361708254,53.0580187887703,119.142583920228,53.2225714330127,"chi",33,0.75,"main+inter","total",8.22742942194557,4.82864543265033
57.6072394990511,27.5449535215072,47.6353681234193,132.787561143978,138.640016134566,134.772997041902,141.985557335785,125.832673060635,"chi",33,0.75,"main+inter","total",8.60303365796085,14.9760160122916
39.2943709633928,35.5500024886274,2.91580069046821,77.7601741424885,164.319525171103,76.506022522579,174.280943298662,73.5579997180298,"chi",33,0.75,"main+inter","total",6.70988628903353,7.26594569125046
26.8418717783846,21.4285436516903,19.9912224436591,68.261637873734,130.683604284121,71.592586257915,128.862350603655,68.6329937852958,"chi",33,0.75,"main+inter","total",8.58851627145988,7.09915797632329
