"n","rho_e","p","pro","sub_est_mean","var_jack","sub_z_length","sub_z_coverage","MES","est_var","est_mean","method","target","var_diff_ratio","var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","structure","decor","x_dist"
500,0.5,33,0,0,0,0,0,5.07826436320034,3.33282917107981,11.3822922084401,"EigenPrism","total",-1,8,2,-0.00182706513002104,9.99634586973996,"un",TRUE,"normal"
500,0.5,33,0,0,0,0,0,58.9131391333396,7.13217082402021,17.2169813577369,"GCTA","total",-1,8,2,-0.00182706513002104,9.99634586973996,"un",TRUE,"normal"
500,0.5,33,0,0,0,0,0,71.0892261436159,12.4658261528536,20.8892646133806,"EigenPrism","total",-1,8,2,1.59603869023752,13.192077380475,"un",TRUE,"chi"
500,0.5,33,0,0,0,0,0,175.312314002684,17.4113217138817,25.7925360377817,"GCTA","total",-1,8,2,1.59603869023752,13.192077380475,"un",TRUE,"chi"
500,0.5,33,0,0,0,0,0,162.962115965396,21.2495086649056,25.1015457493967,"EigenPrism","total",-1,8,2,1.59603869023752,13.192077380475,"un",FALSE,"chi"
500,0.5,33,0,0,0,0,0,147.558535468834,30.4448704438397,24.021014972742,"GCTA","total",-1,8,2,1.59603869023752,13.192077380475,"un",FALSE,"chi"
500,0.5,33,0,0,0,0,0,197.070435812497,14.2504480911896,23.5202882376462,"EigenPrism","total",-1,8,2,-0.00182706513002104,9.99634586973996,"un",FALSE,"normal"
500,0.5,33,0,0,0,0,0,158.637993655998,21.448492680924,21.7137151751122,"GCTA","total",-1,8,2,-0.00182706513002104,9.99634586973996,"un",FALSE,"normal"
