"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_main","sub_least_square_main","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,4.65979306496333,-17.0244988665419,5.57894840333959,0,8.60381957963571,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,9.90735132773201,5.57894840333959,0,11.5180347822921,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,15.2215551030626,5.57894840333959,0,2.11848741548763,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,13.1170847461938,5.57894840333959,0,8.9538124284272,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,-4.50900350429167,5.57894840333959,0,2.33455559338072,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,-25.7298336951998,5.57894840333959,0,3.10466800024744,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,-12.0101566347872,5.57894840333959,0,0.282278195938197,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,10.1945763308369,5.57894840333959,0,9.88204846042038,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,8.82811464962383,5.57894840333959,0,8.59447701476558,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,7.82080916362568,5.57894840333959,0,13.4183264686761,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
10,0,0,0,4.65979306496333,-3.79917730564112,5.57894840333959,0,7.41700840438057,0,"normal","I",50,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,8
