"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","GCTA_total","GCTA_interaction","prop_total","prop_interaction","sub_GCTA_total","sub_GCTA_interaction","sub_prop_total","sub_prop_interaction","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","interaction_m","combine","pro","n_sub","inter_std","i"
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,201.524361631227,0,76.2424273166478,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,202.588203311371,0,82.5758018981864,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,185.211684560709,0,88.5215053746567,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,224.281559405376,0,91.4256773513812,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,220.551442472412,0,91.594082612149,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,220.198138913804,0,97.178771845321,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,189.449669063608,0,83.5358884098788,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,225.701549529437,0,85.7989571528296,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,207.862176774259,0,94.1035204066085,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
60.8839933722233,35.8740375984183,-10.996416721934,85.7616142487076,205.781428127364,0,85.7107412039457,0,227.630136831505,0,87.1139747021721,0,"chi","un",33,1000,0.5,0,0.1,0,0,TRUE,0.75,10,TRUE,1
