"Direction/Distance","3","4","5","6","3","4","5","6"
"0D vs >= 1D",0.9,1,1,1,0,0.05,1,1
"1D vs >= 2D",0.08,0.52,0.52,0.5,0,0,1,1
"2D vs >= 3D",0,0.05,0.06,0.06,0,0,0.05,1
"3D vs >= 4D",0,0,0,0.01,0,0,0,0.01
"4D vs >= 5D",0,0,0,0,0,0,0,0
"5D vs >= 6D",0,0,0,0,0,0,0,0
"F",1.33,1.2,1.21,1.19,1.71,1.03,0.23,0.07
"R",0.17,0.14,0.14,0.13,0.29,0.1,0.01,0
