"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","data_name","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,35.3875816641015,22.0311219581921,48.7440413700108,16.6675692095947,0,40.5659570538507,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,11.3369717102529,8.05232678923132,14.6216166312745,16.6675692095947,0,11.5454106361071,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,22.4964781552343,15.3808362806277,29.612120029841,16.6675692095947,0,26.141631557843,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,34.0378261837,22.6518758974668,45.4237764699332,16.6675692095947,0,35.8538754319382,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,9.72753701894123,7.41738753711697,12.0376865007655,16.6675692095947,0,7.31828979517996,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,30.2330295659541,20.2572431632803,40.2088159686279,16.6675692095947,0,50.0385119117329,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,7.84629004456395,5.65340461162303,10.0391754775049,16.6675692095947,0,7.0495598615354,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,9.81590588960115,6.8197754959034,12.8120362832989,16.6675692095947,0,7.55568973292108,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,22.8494893554309,15.8090127189373,29.8899659919245,16.6675692095947,0,29.4881822974409,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,9.41393162844427,6.66305529238459,12.1648079645039,16.6675692095947,0,9.03659403930542,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,20.3778722577311,13.9890847620099,26.7666597534522,16.6675692095947,0,22.7250576031184,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,21.7291463339514,14.7636116112371,28.6946810566658,16.6675692095947,0,25.1216981225346,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.3465250587177,12.6144314600395,20.078618657396,16.6675692095947,0,15.0185391732078,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.99010161649,11.229718515327,22.750484717653,16.6675692095947,0,17.1392345412008,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,102,"bs",100,0.5,4873,FALSE,25
