"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","prop_total","prop_inter","sub_GCTA_total","sub_GCTA_inter","sub_prop_total","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","reduce_coef","decor","interact","combine","pro","n_sub","inter_std","sigma_main_approx","i"
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,54.3414787027322,12.8856385694625,95.797318836002,157.848586298665,0,59.392286881884,0,77.7290525410659,0,29.949366316483,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,51.7388113326739,12.4248181925299,91.0528044728178,157.848586298665,0,59.392286881884,0,38.6266752057261,0,28.8449768528787,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,67.825032132524,17.8093761297053,117.840688135343,157.848586298665,0,59.392286881884,0,102.199102875682,0,51.8877402789286,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,91.2545025043033,23.7407644925193,158.768240516087,157.848586298665,0,59.392286881884,0,135.239963684117,0,72.5295705250496,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,105.53140970567,27.6574791885069,183.405340222834,157.848586298665,0,59.392286881884,0,143.474157214415,0,96.1121163920788,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,93.0256824509517,23.6646619174712,162.386702984432,157.848586298665,0,59.392286881884,0,92.4877064319896,0,60.7367066128204,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,102.640542200429,26.9667587680804,178.314325632778,157.848586298665,0,59.392286881884,0,180.562269881544,0,83.3724647162633,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,60.3866352846381,14.290638905654,106.482631663622,157.848586298665,0,59.392286881884,0,136.207271831596,0,32.0673802222322,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,65.2616619609685,16.1008573911543,114.422466530783,157.848586298665,0,59.392286881884,0,135.398777135926,0,44.2613695531207,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,63.4089907681031,15.862729865255,110.955251670951,157.848586298665,0,59.392286881884,0,115.526142779713,0,46.4624404145439,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,76.2157412419746,19.2867992166326,133.144683267317,157.848586298665,0,59.392286881884,0,53.9717200080444,0,60.3992051219321,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,94.2303438652729,24.1456028769348,164.315084853611,157.848586298665,0,59.392286881884,0,106.590985018054,0,60.6859131200363,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,60.8601159995,14.8428234033193,106.877408595681,157.848586298665,0,59.392286881884,0,108.070897302351,0,40.9861559066669,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,77.1472091287279,36.567826965672,117.726591291784,69.0387615129664,17.2056136054067,120.871909420526,157.848586298665,0,59.392286881884,0,148.857595374968,0,41.8475584824203,0,"chi","un",33,264,0.5,0,0.1,0,0.9,TRUE,0,TRUE,0.5,200,TRUE,0.0022375758893052,59
