"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_total","sub_least_square_total","GCTA_total","GCTA_inter","prop_total","prop_inter","sub_GCTA_total","sub_GCTA_inter","sub_prop_total","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","n_sub","inter_std","sigma_main_approx","i"
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,91.9589754867745,201.567392913501,0,73.1988293685635,0,234.89287868906,0,92.5090394961928,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,84.9190071703856,201.567392913501,0,73.1988293685635,0,210.58220574178,0,85.6774627220696,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,61.063681477961,201.567392913501,0,73.1988293685635,0,186.607875938732,0,61.5801107293423,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,46.4893275675097,201.567392913501,0,73.1988293685635,0,148.584353055389,0,46.5560172283674,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,55.2075941593852,201.567392913501,0,73.1988293685635,0,173.113651012322,0,55.317288728867,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,51.9996199154656,201.567392913501,0,73.1988293685635,0,152.695677712344,0,52.3963501967624,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,91.2460824633585,201.567392913501,0,73.1988293685635,0,218.625006760786,0,92.4927056122223,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,54.5735058857206,201.567392913501,0,73.1988293685635,0,158.999450784798,0,55.3739830237555,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,52.8249361731756,201.567392913501,0,73.1988293685635,0,158.230033854525,0,53.1818631310903,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,58.1381690961825,201.567392913501,0,73.1988293685635,0,175.563495451495,0,58.4323090921164,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,56.8371334020568,201.567392913501,0,73.1988293685635,0,150.646337568326,0,57.0360760217581,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,82.0761621178227,201.567392913501,0,73.1988293685635,0,199.349650481306,0,82.2811199473568,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,92.7608891066021,201.567392913501,0,73.1988293685635,0,246.728818958881,0,93.2980546631573,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,49.8451516899355,201.567392913501,0,73.1988293685635,0,139.546622818045,0,50.1170002242254,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,91.5100899257058,201.567392913501,0,73.1988293685635,0,226.900830500961,0,91.7514421121961,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,91.339812753424,201.567392913501,0,73.1988293685635,0,223.965389430723,0,92.1182894454583,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,95.0125348242449,201.567392913501,0,73.1988293685635,0,221.314489902625,0,96.1246841051948,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
39.9605610844821,6.4752640355137,6.41841735407668,59.2726598281492,72.7647187283261,47.6428346963974,201.567392913501,0,73.1988293685635,0,157.667775338195,0,47.7382084085991,0,"chi","un",33,2000,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0022375758893052,71
