"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","h_GCTA_total","h_GCTA_inter","sub_h_GCTA_total","sub_h_GCTA_inter","x_dist","structure","p","n","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","interact","decor","d","bs","n_sub","rho_e","emp_n","i"
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.28373471549244,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.274843106823726,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.198270149727565,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.228860995575884,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.447608178676417,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.385043940686381,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.218088584876704,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.0556460506344951,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.477536011254364,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.174728632374406,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.518937723931509,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.286609981498537,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.510610958542345,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.325495966657292,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.190399753274452,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.392393774473241,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.364974794178404,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.483669775709862,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.400260702610386,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.0454719071429236,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
8,2,0.011122993192886,10.0222459863858,0.315234971491116,0,0.4366337973044,0,"normal","I",31,250,TRUE,TRUE,0.5,0,0.1,0,0,TRUE,0,"para-bs",1000,0.3,1e+05,10
