"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,12.8748338509953,9.8292743380003,15.9203933639903,9.76518451601044,0,12.2813333955336,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,7.51693606766288,4.76630677063356,10.2675653646922,9.76518451601044,0,7.37036500225112,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,9.68833789870417,6.6450664110055,12.7316093864028,9.76518451601044,0,9.88121043475669,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,8.12158065116294,5.23222808351184,11.010933218814,9.76518451601044,0,7.94013209071213,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,9.29569965221344,6.15698742947832,12.4344118749486,9.76518451601044,0,9.67181900668515,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,14.2860648066151,11.1036197468151,17.4685098664152,9.76518451601044,0,14.1593908145262,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,11.1777390348441,8.34275492036381,14.0127231493244,9.76518451601044,0,10.9092125514514,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,10.4604918613473,7.5300318188957,13.3909519037988,9.76518451601044,0,10.458765694188,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,10.650405344485,7.63207348856793,13.6687372004021,9.76518451601044,0,10.9185954498216,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,4.7230616652477,1.87627035151206,7.56985297898333,9.76518451601044,0,5.25470055744057,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
10,0,0,0,9.60914579932176,7.82661420062768,11.3916773980158,11.4062089122059,8.38055589902525,14.4318619253865,9.76518451601044,0,11.5499916580524,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,420
