"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,14.5218545832597,7.61631138257706,21.4273977839424,14.5461313429037,0,15.5161078687023,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,13.6714002831584,6.97677304199458,20.3660275243223,14.5461313429037,0,13.0341220248688,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,14.3475868555398,7.98773040248622,20.7074433085935,14.5461313429037,0,11.5322992353309,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,13.2243086340972,6.65742205257594,19.7911952156184,14.5461313429037,0,13.6641698482586,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,13.4846640671901,7.08302622962069,19.8863019047595,14.5461313429037,0,14.2422825027698,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,18.7960730123261,11.9598945477693,25.6322514768829,14.5461313429037,0,18.1842439441858,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,14.5979267396815,7.63836974448028,21.5574837348828,14.5461313429037,0,15.4787532990768,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,16.018261094415,8.82054058132632,23.2159816075036,14.5461313429037,0,16.9210198838876,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,11.75114111856,5.60130388465395,17.900978352466,14.5461313429037,0,11.2443238868925,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
10,0,0,0,14.7563223115381,10.7396350585737,18.7730095645024,12.7714140851492,5.9211629056933,19.6216652646052,14.5461313429037,0,12.7059261154821,0,"chi","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.2,1e+05,TRUE,288
