"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.18423079441798,5.54299658285657,12.8254650059794,9.40419783495218,0,9.19859568770898,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.75927215534974,6.06937627268183,13.4491680380176,9.40419783495218,0,9.57323802294886,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.25184998842874,5.59950402229839,12.9041959545591,9.40419783495218,0,9.1788396262103,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.45635603496841,5.78316404344557,13.1295480264912,9.40419783495218,0,9.37973122660111,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.41008661374568,5.72192394963458,13.0982492778568,9.40419783495218,0,9.42016691677333,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.39021107406614,5.70048179230391,13.0799403558284,9.40419783495218,0,9.38563544261848,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.52823575194797,5.83622925364219,13.2202422502537,9.40419783495218,0,9.43614885347395,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.38590365010175,5.71000864869617,13.0617986515073,9.40419783495218,0,9.33449059565822,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.43955423194499,5.7491176472144,13.1299908166756,9.40419783495218,0,9.36283980264416,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.27337113950366,5.61257567320229,12.934166605805,9.40419783495218,0,9.33536006833851,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.47037450947755,5.77973513125519,13.1610138876999,9.40419783495218,0,9.39011432932313,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.58434192490677,5.89493067283542,13.2737531769781,9.40419783495218,0,9.49431192336093,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.35080540935844,5.66966005780239,13.0319507609145,9.40419783495218,0,9.31672484318949,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.49363943360838,5.80640146710914,13.1808774001076,9.40419783495218,0,9.41236708905711,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.855855119405,6.19233364530936,13.5193765935007,9.40419783495218,0,9.65757686797984,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
8,2,0.0123263592816436,10.0246527185633,9.49490738881011,5.82986678265716,13.1599479949631,9.64723626358249,5.95712021086045,13.3373523163045,9.40419783495218,0,9.5064104784531,0,"normal","I",21,231,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",231,0.5,1e+05,FALSE,38
