"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","prop_main","prop_inter","sub_GCTA_main","sub_GCTA_inter","sub_prop_main","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","n_sub","inter_std","sigma_main_approx","i"
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,97.8401001315974,39.2494555550378,156.430744708157,95.6964984207143,0,96.0965098738487,0,97.342433573874,0,106.380152164882,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,108.381377762902,48.0974731485205,168.665282377284,95.6964984207143,0,96.0965098738487,0,107.758540862659,0,109.345126844171,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,95.8973970056314,40.7510735832065,151.043720428056,95.6964984207143,0,96.0965098738487,0,95.2319474603945,0,98.9102520069553,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,85.4973789622839,35.470202461023,135.524555463545,95.6964984207143,0,96.0965098738487,0,84.8651195056301,0,88.6598208488918,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,94.6404304564644,38.5927942353008,150.688066677628,95.6964984207143,0,96.0965098738487,0,94.0408669739122,0,100.649869750149,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,95.1250432790852,42.6193536846377,147.630732873533,95.6964984207143,0,96.0965098738487,0,94.4750815328263,0,94.2514622702623,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,98.9030672278921,44.3199280618741,153.48620639391,95.6964984207143,0,96.0965098738487,0,98.1889842620792,0,98.0977895722518,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,100.214962108663,41.7548673809235,158.675056836402,95.6964984207143,0,96.0965098738487,0,99.5829848490629,0,105.275304084229,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,97.5980253601257,47.6323954579207,147.563655262331,95.6964984207143,0,96.0965098738487,0,96.6054492274428,0,87.6828050534294,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,95.4202507253826,40.0522820059368,150.788219444828,95.6964984207143,0,96.0965098738487,0,94.7836930180217,0,99.5735630319831,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,94.5834883490962,40.3285957842945,148.838380913898,95.6964984207143,0,96.0965098738487,0,93.899563846561,0,96.3768961248374,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,103.655988557703,44.4049710591017,162.907006056305,95.6964984207143,0,96.0965098738487,0,103.179365052718,0,108.368244475799,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,96.14075878743,44.691115614637,147.590401960223,95.6964984207143,0,96.0965098738487,0,95.222062515651,0,90.6124753539107,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,93.5189678232431,39.6354082351779,147.402527411308,95.6964984207143,0,96.0965098738487,0,92.922714789589,0,96.8388387688165,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,96.1871223491566,42.4348501216047,149.939394576708,95.6964984207143,0,96.0965098738487,0,95.4613050258918,0,95.8324551110174,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,93.170122991485,44.2358293050999,142.10441667787,95.6964984207143,0,96.0965098738487,0,92.2565871468177,0,86.396575448404,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
97.7024344610317,0,0,97.7024344610317,NA,NA,NA,96.4028647383799,42.4369414396503,150.36878803711,95.6964984207143,0,96.0965098738487,0,95.403199357706,0,94.9009448763383,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00250735144056588,89
