"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI","sub_EigenPrism_main","sub_EigenPrism_CI","GCTA_rr_main","sub_GCTA_rr_main","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","combine","d","bs","n_sub","rho_e","emp_n","i"
8,0,0,0,11.5839197540901,13.3849859113219,10.2244823489675,12.1833508632025,12.8742937390309,13.0781881080957,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.0207160755038,13.3441806975145,12.8742937390309,11.7358103692433,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.499341747159,13.6073174586448,12.8742937390309,12.3888611605518,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,10.9567527098377,13.5146591759234,12.8742937390309,11.528445113476,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.4576898839809,13.8153868384998,12.8742937390309,12.310447262019,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.6612070223672,13.8353752866812,12.8742937390309,13.0528129713469,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.257082360341,13.8833197423811,12.8742937390309,13.7426242738873,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,10.8032978881318,13.4720976561695,12.8742937390309,11.7352530012724,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.691785267598,13.8393729976134,12.8742937390309,12.6044775460445,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.2216699489243,13.585722768981,12.8742937390309,12.3878724848206,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
