"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI","sub_EigenPrism_main","sub_EigenPrism_CI","GCTA_rr_main","sub_GCTA_rr_main","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","combine","d","bs","n_sub","rho_e","emp_n","i"
8,0,0,0,16.8776590615507,18.0617579441763,17.2909445495742,18.6890049733056,15.6594699315936,16.0761881331481,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,17.3514326560066,18.6748854337967,15.6594699315936,15.9834338558563,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,16.5279764360158,18.6749943972037,15.6594699315936,15.4524979873405,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,17.0547576793163,18.4595364252637,15.6594699315936,16.2200377039596,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,18.0604255062536,18.642142838807,15.6594699315936,17.670598296996,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,15.3791393440691,17.5135598495348,15.6594699315936,13.7131149307459,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,16.6511637306064,18.3906583771111,15.6594699315936,15.6113861728419,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,17.2811472132628,18.7105664712224,15.6594699315936,15.8120317899645,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,16.5492686519529,18.345311069603,15.6594699315936,15.3893018303799,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,16.8238033403399,18.535535969669,15.6594699315936,15.1929351688175,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,17.8323871213193,18.1876028392605,15.6594699315936,16.3981850370805,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,18.401934823229,18.4820875384712,15.6594699315936,16.7897773028314,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,17.492593019314,18.5668186521221,15.6594699315936,17.1442801111742,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,17.0099538476981,18.5726627054222,15.6594699315936,15.1507567531731,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,17.1652053848024,18.5894530850292,15.6594699315936,15.9705879483742,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
8,0,0,0,16.8776590615507,18.0617579441763,14.4880929963259,17.1026977465744,15.6594699315936,13.3925075466241,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,61
