"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI","sub_EigenPrism_main","sub_EigenPrism_CI","GCTA_rr_main","sub_GCTA_rr_main","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","combine","d","bs","n_sub","rho_e","emp_n","i"
8,0,0,0,5.44915166847516,14.9196991918118,5.15414120834533,15.449028054534,4.38297467710385,4.14595113292551,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.23611402414833,15.244214959313,4.38297467710385,3.5785625289971,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.33563044596869,15.427667554779,4.38297467710385,4.45008013510133,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.08651762525119,15.3611879599978,4.38297467710385,3.82569237935027,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,1.57027756444393,12.7961889519913,4.38297467710385,1.44009962715627e-06,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,6.76130691807945,15.4183271042758,4.38297467710385,5.17649652134259,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,7.19395349418425,15.4272309799981,4.38297467710385,5.78995011663951,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.74434718308728,15.4053884251078,4.38297467710385,4.67042782867956,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,3.41823895121795,14.7711779871328,4.38297467710385,2.66420954007282,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.40754141061418,15.4543001230782,4.38297467710385,4.39420560127297,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.302293414297,15.4366854355758,4.38297467710385,4.62202505866526,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.48235460748188,15.4828859136522,4.38297467710385,4.37577424365156,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,4.37348050139636,15.211873399276,4.38297467710385,4.25715696801655,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.03298079715225,15.3202564455314,4.38297467710385,3.96312475338692,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.48200973462534,15.4536300897694,4.38297467710385,4.48244077797185,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,6.23852480087348,15.4784176842841,4.38297467710385,4.52683298948872,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,6.52832950900138,15.3884640298504,4.38297467710385,5.14458203664741,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.41040289686795,15.3877743852402,4.38297467710385,4.48138558510527,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.45986347212303,14.205455981449,4.38297467710385,4.40807019072794,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,7.0312748720847,15.4550234017946,4.38297467710385,5.37088324029221,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
8,0,0,0,5.44915166847516,14.9196991918118,5.84525766859352,15.4835255143869,4.38297467710385,4.65384782753381,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,41
