"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","h_EigenPrism_total","h_EigenPrism_CI1","h_EigenPrism_CI2","sub_h_EigenPrism_total","sub_h_EigenPrism_CI1","sub_h_EigenPrism_CI2","h_GCTA_total","h_GCTA_inter","sub_h_GCTA_total","sub_h_GCTA_inter","x_dist","structure","p","n","data_name","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.568800311632657,0.0243575980048084,1.11324302526051,0.750723238751987,0,0.567807819672244,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,1.23362790483032,0.670891526750391,1.79636428291026,0.750723238751987,0,1.00204166187405,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,1.28489107025621,0.730666279470997,1.83911586104143,0.750723238751987,0,0.992706940019056,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.82147080243767,0.248639216986204,1.39430238788914,0.750723238751987,0,0.625541718320847,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.634752286313597,0.044416416702162,1.22508815592503,0.750723238751987,0,0.376709169121832,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.708522041016302,0.152794273001,1.2642498090316,0.750723238751987,0,0.628562768003175,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.946992408082206,0.394350004313977,1.49963481185043,0.750723238751987,0,0.655633578781083,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,1.35721292470968,0.819310454835494,1.89511539458386,0.750723238751987,0,1.35576273720111,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.891316161810359,0.294171257837536,1.48846106578318,0.750723238751987,0,0.54937923433461,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.396674237054502,-0.186944905948786,0.98029338005779,0.750723238751987,0,0.338559318690883,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,1.45406742166124,0.839105977865305,2.06902886545717,0.750723238751987,0,1.22560875794276,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.954866696348641,0.431080253632335,1.47865313906495,0.750723238751987,0,0.673785719453294,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.47718297384666,0.0188319061940977,0.935534041499223,0.750723238751987,0,0.310250885479211,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.579784174094484,0.0218798212871995,1.13768852690177,0.750723238751987,0,0.329612478934455,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,1.1841594222375,0.600820339485914,1.76749850498908,0.750723238751987,0,1.00347201307878,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
8,2,0.621633104446795,11.2432662088936,0.8605587398296,0.407069554567787,1.31404792509141,0.235140927273549,-0.339521477293347,0.809803331840444,0.750723238751987,0,0.35138206279842,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",50,0.5,4873,FALSE,33
