"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","i_1","i_2","i_1.1","i_2.1","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,3.55175978123613,-4.73994788911586,11.8434674515881,11.843230349431,0,0,0,1,9,1,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,11.5189265965426,-1.46883554575589,24.5066887388411,11.843230349431,0,11.8480132901029,0,1,10,1,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,16.6756558372248,3.85323864932251,29.4980730251271,11.843230349431,0,10.0086537648854,0,2,3,2,3,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,18.8880566824126,5.41470292441821,32.3614104404069,11.843230349431,0,9.50400247844605,0,2,4,2,4,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,19.3123257037418,6.24290353357,32.3817478739136,11.843230349431,0,8.28579683248604,0,2,5,2,5,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,15.4113452451421,3.60430008237834,27.2183904079059,11.843230349431,0,9.21117050028497,0,2,6,2,6,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,14.1017162520242,3.40566220427158,24.7977702997769,11.843230349431,0,8.34350824180343,0,2,7,2,7,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,16.5954476012838,4.9605335399641,28.2303616626035,11.843230349431,0,7.43644962128866,0,2,8,2,8,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,7.29136075890568,0.308639992037268,14.2740815257741,11.843230349431,0,6.61390191220269,0,2,9,2,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,18.4138940062391,4.97487427593827,31.8529137365399,11.843230349431,0,9.56585364962529,0,2,10,2,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
