"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","prop_total","prop_inter","sub_GCTA_total","sub_GCTA_inter","sub_prop_total","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","n_sub","inter_std","sigma_main_approx","i"
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,104.181528728083,70.9076464961994,137.455410959966,124.925706956042,0,142.123053914158,0,108.990244210594,0,260.524372689816,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,129.108812504448,90.5071655652816,167.710459443614,124.925706956042,0,142.123053914158,0,133.473790639754,0,0,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,102.682927972681,69.1209299831133,136.244925962248,124.925706956042,0,142.123053914158,0,108.906146861912,0,260.916387342737,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,110.632664933097,74.8839638454568,146.381366020737,124.925706956042,0,142.123053914158,0,122.170499683274,0,276.188209006671,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,123.57453063196,85.9236979610206,161.2253633029,124.925706956042,0,142.123053914158,0,125.856635695473,0,0,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,127.18663896309,90.8595336920393,163.51374423414,124.925706956042,0,142.123053914158,0,128.677126164949,0,0,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,107.932686164042,75.4387363148901,140.426636013195,124.925706956042,0,142.123053914158,0,136.085294827878,0,255.109196112136,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,119.378412379197,85.4182490832936,153.338575675101,124.925706956042,0,142.123053914158,0,123.446572232097,0,0,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,118.924994460531,79.7151121233266,158.134876797735,124.925706956042,0,142.123053914158,0,128.600079415531,0,308.471758516356,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,104.553845574344,71.3113032378544,137.796387910833,124.925706956042,0,142.123053914158,0,133.033408319226,0,258.766184464179,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,113.197182883279,78.8250163867668,147.569349379792,124.925706956042,0,142.123053914158,0,121.269942383016,0,265.759049565071,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,98.418098694019,65.8586347825238,130.977562605514,124.925706956042,0,142.123053914158,0,114.759556711123,0,253.293746313021,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,133.959742689386,92.5306575715802,175.388827807191,124.925706956042,0,142.123053914158,0,143.127167787329,0,325.731466020542,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,124.534762877813,89.3771534023817,159.692372353245,124.925706956042,0,142.123053914158,0,126.473245818915,0,0,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,127.13737399421,102.167248195035,152.107499793385,111.015041386504,76.6637243846685,145.36635838834,124.925706956042,0,142.123053914158,0,116.850979845659,0,0,0,"chi","I",33,528,0.5,0,0.1,0,FALSE,0,TRUE,0.5,200,TRUE,0.0024794110518174,70
