"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,9.41478242624649,7.34964998593464,11.4799148665583,10.383459626463,0,9.47329718457127,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,11.5724141317172,9.42921842074007,13.7156098426944,10.383459626463,0,11.134097145903,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,12.772102161614,10.5409579817066,15.0032463415215,10.383459626463,0,11.8318778015233,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,11.3687764196207,9.18845607066526,13.5490967685761,10.383459626463,0,11.0115394109422,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,11.8632009266906,9.66046882452215,14.0659330288591,10.383459626463,0,11.6121513399436,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,13.0074028425691,10.7843457628391,15.230459922299,10.383459626463,0,12.7205892022251,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,13.4331447363896,11.2200308730712,15.646258599708,10.383459626463,0,12.9486190973786,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,10.3379404532924,8.28477662658228,12.3911042800025,10.383459626463,0,10.451074460351,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,10.9450231982694,8.85632824120229,13.0337181553365,10.383459626463,0,10.4102603262035,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,12.9322689214598,10.6985798671788,15.1659579757408,10.383459626463,0,12.1023998248483,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,11.9694713334459,9.93275180318361,14.0061908637082,10.383459626463,0,12.4493341041198,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,10.8821839770561,8.74482921576249,13.0195387383497,10.383459626463,0,10.8021147932127,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,10.2570971615581,8.19105405418695,12.3231402689292,10.383459626463,0,9.85487191625537,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,13.2029954871543,10.8496120384321,15.5563789358765,10.383459626463,0,12.659040665577,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,10.2971452851132,8.21827929780245,12.3760112724239,10.383459626463,0,9.87487608872082,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,9.69066125295529,7.71287283659927,11.6684496693113,10.383459626463,0,9.39533369440623,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,10.148279974836,8.05186870673238,12.2446912429396,10.383459626463,0,9.71192862717019,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,11.4633756016977,9.31991062333073,13.6068405800647,10.383459626463,0,11.3008599095078,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,9.63896284429737,7.65141531391924,11.6265103746755,10.383459626463,0,10.0177916257891,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,12.9720278597978,10.7201046707,15.2239510488957,10.383459626463,0,13.2338851578291,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
10,0,0,0,10.6564804054655,9.36373828086761,11.9492225300633,13.8255878266328,11.6342793387894,16.0168963144762,10.383459626463,0,12.9607662988245,0,"normal","I",1000,1000,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,354
