"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,20.5157939358974,3.21160564700285,37.819982224792,16.0067647048487,0,16.927410921044,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,5.92088488010891,-11.1273081611228,22.9690779213406,16.0067647048487,0,1.90061261673539,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,26.6102043756924,14.0071744464246,39.2132343049602,16.0067647048487,0,12.1381073186441,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,3.14910775886218,-9.85064429685507,16.1488598145794,16.0067647048487,0,0,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,19.3310921074481,7.73674511207481,30.9254391028213,16.0067647048487,0,11.4190178557958,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,24.4230435705642,6.58770551503856,42.2583816260899,16.0067647048487,0,17.8982965083564,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,32.6232479462601,16.330631412945,48.9158644795751,16.0067647048487,0,15.814625639037,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,8.05481245838482,-1.96530798835039,18.07493290512,16.0067647048487,0,10.4934033129804,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,0.510675126490944,-17.7238059295996,18.7451561825815,16.0067647048487,0,0,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
10,0,0,0,17.5563760382133,8.41884028181643,26.6939117946102,10.5228875753679,-7.94434286625866,28.9901180169945,16.0067647048487,0,8.58579278706529,0,"normal","I",1000,100,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.7,1e+05,TRUE,701
