"main_fixed_var","inter_fixed_var","reduce_coef","x_dist","combine","pro","n","inter_std","true_total_ave","true_main_ave","true_inter_ave","true_cov_main_inter_ave","GCTA_total_ave","proposed_GCTA_ave","N_iteration","data_gen_model","est_model"
1,0,NA,"PCB",TRUE,0.1,218,FALSE,25.0780282570706,25.0780282570706,0,0,64.3110274143957,4.06116646594373e-12,100,"main","total"
1,0,0.8,"PCB",TRUE,0.1,218,FALSE,25.0780282570706,25.0780282570706,0,0,64.3110274143957,24.6906919922613,100,"main","total"
1,0,0.9,"PCB",TRUE,0.1,218,FALSE,25.0780282570706,25.0780282570706,0,0,64.3110274143957,23.6939870715882,100,"main","total"
1,0,1,"PCB",TRUE,0.1,218,FALSE,25.0780282570706,25.0780282570706,0,0,64.3110274143957,2.45149510598499e-05,100,"main","total"
1,0,0.8,"PCB",TRUE,0.1,218,TRUE,25.0780282570706,25.0780282570706,0,0,117.918693612005,25.0948583829623,100,"main","total"
1,0,0.9,"PCB",TRUE,0.1,218,TRUE,25.0780282570706,25.0780282570706,0,0,117.918693612005,24.9333776607628,100,"main","total"
1,0,1,"PCB",TRUE,0.1,218,TRUE,25.0780282570706,25.0780282570706,0,0,117.918693612005,21.3895231593547,100,"main","total"
1,0,NA,"PCB",TRUE,0.1,218,TRUE,25.0780282570706,25.0780282570706,0,0,117.918693612005,35.8562699165598,100,"main","total"
1,1,NA,"PCB",TRUE,0.1,218,FALSE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,80.745532089261,4.24420969347821e-10,100,"main+inter","total"
1,1,0.8,"PCB",TRUE,0.1,218,FALSE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,80.745532089261,34.1348048267359,100,"main+inter","total"
1,1,0.9,"PCB",TRUE,0.1,218,FALSE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,80.745532089261,33.417985773064,100,"main+inter","total"
1,1,1,"PCB",TRUE,0.1,218,FALSE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,80.745532089261,0.00478858577778865,100,"main+inter","total"
1,1,0.8,"PCB",TRUE,0.1,218,TRUE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,169.152271757388,28.6483343378582,100,"main+inter","total"
1,1,0.9,"PCB",TRUE,0.1,218,TRUE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,169.152271757388,21.9077399715633,100,"main+inter","total"
1,1,1,"PCB",TRUE,0.1,218,TRUE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,169.152271757388,25.8126990418264,100,"main+inter","total"
1,1,NA,"PCB",TRUE,0.1,218,TRUE,34.4551729690918,25.0780282570706,17.3922894138633,-8.01514470184206,169.152271757388,42.49119891915,100,"main+inter","total"
1,0,NA,"PCB",TRUE,0.2,435,FALSE,25.2551429640972,25.2551429640972,0,0,56.4942136255181,5.30512821045457e-11,100,"main","total"
1,0,0.8,"PCB",TRUE,0.2,435,FALSE,25.2104136188615,25.2104136188615,0,0,56.4135914766969,25.1012231116733,99,"main","total"
1,0,0.9,"PCB",TRUE,0.2,435,FALSE,25.2551429640972,25.2551429640972,0,0,56.4942136255181,24.8928323734606,100,"main","total"
1,0,1,"PCB",TRUE,0.2,435,FALSE,25.2551429640972,25.2551429640972,0,0,56.4942136255181,8.76969882613786e-06,100,"main","total"
1,0,0.8,"PCB",TRUE,0.2,435,TRUE,25.2551429640972,25.2551429640972,0,0,116.602827868545,25.3205609751749,100,"main","total"
1,0,0.9,"PCB",TRUE,0.2,435,TRUE,25.2551429640972,25.2551429640972,0,0,116.602827868545,25.2578377228021,100,"main","total"
1,0,1,"PCB",TRUE,0.2,435,TRUE,25.2551429640972,25.2551429640972,0,0,116.602827868545,21.0229775656128,100,"main","total"
1,0,NA,"PCB",TRUE,0.2,435,TRUE,25.2551429640972,25.2551429640972,0,0,116.602827868545,21.8844798892468,100,"main","total"
1,1,NA,"PCB",TRUE,0.2,435,FALSE,39.0164206536316,25.2551429640972,21.7902794968641,-8.02900180732973,73.5597940926486,9.64302059053956e-09,100,"main+inter","total"
1,1,0.8,"PCB",TRUE,0.2,435,FALSE,38.935343821719,25.2104136188615,21.8251264986078,-8.10019629575029,73.4837238653709,38.8573218169454,99,"main+inter","total"
1,1,0.9,"PCB",TRUE,0.2,435,FALSE,39.0164206536316,25.2551429640972,21.7902794968641,-8.02900180732973,73.5597940926486,38.7532260235906,100,"main+inter","total"
1,1,1,"PCB",TRUE,0.2,435,FALSE,39.0164206536316,25.2551429640972,21.7902794968641,-8.02900180732973,73.5597940926486,0.00207919625615821,100,"main+inter","total"
1,1,0.8,"PCB",TRUE,0.2,435,TRUE,39.0164206536316,25.2551429640972,21.7902794968641,-8.02900180732973,181.999293733638,33.1285818628861,100,"main+inter","total"
1,1,0.9,"PCB",TRUE,0.2,435,TRUE,39.0164206536316,25.2551429640972,21.7902794968641,-8.02900180732973,181.999293733638,25.4902529678776,100,"main+inter","total"
1,1,1,"PCB",TRUE,0.2,435,TRUE,39.0164206536316,25.2551429640972,21.7902794968641,-8.02900180732973,181.999293733638,27.8234966608803,100,"main+inter","total"
1,1,NA,"PCB",TRUE,0.2,435,TRUE,39.0164206536316,25.2551429640972,21.7902794968641,-8.02900180732973,181.999293733638,26.8901654434984,100,"main+inter","total"
1,0,0.8,"PCB",TRUE,0.3,653,FALSE,25.1096475610827,25.1096475610827,0,0,53.5690813576935,25.0786752080736,100,"main","total"
