"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","GCTA_main","GCTA_inter","prop_main","prop_inter","sub_GCTA_main","sub_GCTA_inter","sub_prop_main","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","interact","combine","pro","n_sub","inter_std","i"
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,99.8170875726573,0,98.9489078744418,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,101.634406840486,0,101.65892178578,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,95.2703249555543,0,96.4850179010904,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,99.5532123286658,0,100.33176311528,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,99.5707382312953,0,100.208979072979,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,95.7584183632201,0,97.9531897384698,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,105.356323460849,0,103.774557925205,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,99.8696257389224,0,98.8887761449561,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,94.8868642815288,0,95.0011207073841,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,101.765772120471,0,101.668403792262,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,102.134296189425,0,103.237058749224,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,95.9896625542676,0,94.3784000971184,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,91.7699901100946,0,90.5755465514662,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,105.204571399574,0,105.682666522496,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,96.6169296490171,0,96.6923209384919,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,92.5588042620005,0,79.2326077967757,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,101.878772060704,0,97.5537139937044,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,97.315569765484,0,95.6688342000592,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,99.2093901405645,0,97.9098208930893,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
97.7604234857157,0,0,97.7604234857157,99.266414987021,0,99.3565067211109,0,103.954275539714,0,102.906785288619,0,"chi","I",33,1500,0.5,0,0,0,0,FALSE,0.5,20,TRUE,21
