"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"S312425","0","10","41.2759449136876","63.3061076881506","0.652005729321018","-0.617043453089438","-0.347994270678982","0.347994270678982","-1","weekend","0","0","0"
"S312425","10","20","38.3250298760313","60.4258780544761","0.634248621782209","-0.656879615560912","-0.365751378217791","0.365751378217791","-1","weekend","0","0","10"
"S312425","20","30","36.7074969210667","57.6465382985284","0.636768451402463","-0.651159235344859","-0.363231548597538","0.363231548597538","-1","weekend","0","0","20"
"S312425","30","40","35.3754501453267","54.9710122116153","0.643529175143183","-0.635922538702061","-0.356470824856816","0.356470824856816","-1","weekend","0","0","30"
"S312425","40","50","33.8635835376924","52.4028703486574","0.646216196028659","-0.629911185761311","-0.353783803971341","0.353783803971341","-1","weekend","0","0","40"
"S312425","50","60","32.6131662060435","49.9460485747923","0.652967895091971","-0.61491603532124","-0.347032104908029","0.347032104908029","-1","weekend","0","0","50"
"S312425","60","70","31.8284455847063","47.6046160215486","0.668599985562302","-0.580784771085493","-0.331400014437698","0.331400014437698","-1","weekend","0","0","60"
"S312425","70","80","31.3288652621643","45.3825932872138","0.690327788539819","-0.53464653501145","-0.30967221146018","0.30967221146018","-1","weekend","0","0","70"
"S312425","80","90","30.8190577701956","43.2838211070987","0.712022575223635","-0.490005111214138","-0.287977424776364","0.287977424776364","-1","weekend","0","0","80"
"S312425","90","100","30.030831764672","41.3118790801004","0.726929697544009","-0.460112249186708","-0.273070302455991","0.273070302455991","-1","weekend","0","0","90"
"S312425","100","110","29.0408215857423","39.4700534944598","0.735768488122738","-0.442676205750404","-0.264231511877262","0.264231511877262","-1","weekend","0","0","100"
"S312425","110","120","28.2144284195686","37.761352961985","0.747177370682998","-0.420477333225488","-0.252822629317001","0.252822629317001","-1","weekend","0","0","110"
"S312425","120","130","27.7915818956961","36.1904454376966","0.767925941766605","-0.380960909719373","-0.232074058233394","0.232074058233394","-1","weekend","0","0","120"
"S312425","130","140","27.7403094335744","34.7706933910709","0.797807197043072","-0.32588795680759","-0.202192802956926","0.202192802956926","-1","weekend","0","0","130"
"S312425","140","150","27.6422133461719","33.5229662422096","0.824575401426349","-0.278276671218447","-0.175424598573651","0.175424598573651","-1","weekend","0.04","0.0550279676817899","140"
"S312425","150","160","27.3962568009015","32.4679588394186","0.843793628555434","-0.245037901008912","-0.156206371444566","0.156206371444566","-1","weekend","0.04","0.0550279676817899","150"
"S312425","160","170","27.4076042467639","31.6255811630847","0.866627686790327","-0.206515766704718","-0.133372313209672","0.133372313209672","-1","weekend","0.08","0.107975609756098","160"
"S312425","170","180","27.9569724906377","31.0081556254518","0.901600624955917","-0.149439579354503","-0.0983993750440815","0.0983993750440815","-1","weekend","0.18","0.238438061041293","170"
"S312425","180","190","29.244662613596","30.5966457567616","0.95581270071518","-0.065200156831057","-0.0441872992848209","0.0441872992848209","-1","weekend","0.52","0.604686104544261","180"
"S312425","190","200","31.4716948554021","30.3728209436478","1.03617951436889","0.0512739663974413","0.0349162610022514","0.0349162610022514","1","weekday","0.58","0.65318239633681","190"
"S312425","200","210","34.8628698774238","30.3526210525692","1.1485950362258","0.19987023209177","0.129371128673931","0.129371128673931","1","weekday","0.1","0.133705829054666","200"
"S312425","210","220","39.6733865994077","30.5626741090003","1.29809932396342","0.376400775253277","0.229642923665696","0.229642923665696","1","weekday","0","0","210"
"S312425","220","230","46.1666912366897","31.02772384083","1.48791743388982","0.573294471995251","0.327919696870723","0.327919696870723","1","weekday","0","0","220"
"S312425","230","240","54.5431901908991","31.7721489495469","1.71669817730969","0.779636413029771","0.417486420608227","0.417486420608227","1","weekday","0","0","230"
"S312425","240","250","64.7934940386405","32.8281197614712","1.97371931470427","0.98091683676665","0.493342344805582","0.493342344805582","1","weekday","0","0","240"
"S312425","250","260","76.4595498782622","34.2394087518687","2.23308616198255","1.15903891755841","0.55218924507947","0.55218924507947","1","weekday","0","0","250"
"S312425","260","270","88.6317594545847","36.0644129856385","2.4575960654033","1.29724781142737","0.593098306887185","0.593098306887185","1","weekday","0","0","260"
"S312425","270","280","101.180733638909","38.3803424241042","2.63626448458583","1.3984951167265","0.620675389041208","0.620675389041208","1","weekday","0","0","270"
"S312425","280","290","115.454796767272","41.2788416381242","2.79694856215733","1.483853721886","0.642467504218708","0.642467504218708","1","weekday","0","0","280"
"S312425","290","300","133.730382488281","44.8258133102585","2.98333421331758","1.57692560720279","0.664804568145264","0.664804568145264","1","weekday","0","0","290"
"S312425","300","310","159.294985809353","49.0466886286254","3.2478234568599","1.69947321354681","0.692101490957629","0.692101490957629","1","weekday","0","0","300"
"S312425","310","320","194.940384160269","53.9493517830349","3.61339622659879","1.85335546202382","0.723252049515401","0.723252049515401","1","weekday","0","0","310"
"S312425","320","330","233.84812237452","59.523295414328","3.92868238807607","1.97404553871306","0.745461734693775","0.745461734693775","1","weekday","0","0","320"
"S312425","330","340","264.24782780073","65.6886792755326","4.02273010684742","2.00817494786301","0.751412604515075","0.751412604515075","1","weekday","0","0","330"
"S312425","340","350","282.594357416055","72.1449679156265","3.91703490320419","1.96976198365124","0.74470485336192","0.74470485336192","1","weekday","0","0","340"
"S312425","350","360","291.544180573426","78.5372993374654","3.71217476323823","1.89226463183458","0.730616131033745","0.730616131033745","1","weekday","0","0","350"
"S312425","360","370","295.569575874275","84.6523249146772","3.4915706824613","1.80387617856612","0.713595945508663","0.713595945508663","1","weekday","0","0","360"
"S312425","370","380","299.280318776526","90.0814593409832","3.32232982198554","1.73219530295807","0.699006404065456","0.699006404065456","1","weekday","0","0","370"
"S312425","380","390","306.892642871869","94.5078847029507","3.24727025513764","1.69922745839111","0.692049037674687","0.692049037674687","1","weekday","0","0","380"
"S312425","390","400","322.367844641919","98.087393275122","3.2865369735917","1.71656821548208","0.695728358440723","0.695728358440723","1","weekday","0","0","390"
"S312425","400","410","347.719459300382","101.17091383872","3.43695085975693","1.7811292247414","0.709044428970764","0.709044428970764","1","weekday","0","0","400"
"S312425","410","420","372.963482484417","104.24393036134","3.57779566821412","1.8390709958661","0.720498292039368","0.720498292039368","1","weekday","0","0","410"
"S312425","420","430","379.887584746441","108.057485963136","3.51560635860101","1.81377354138943","0.715554047297284","0.715554047297284","1","weekday","0","0","420"
"S312425","430","440","372.308965741726","113.187037018079","3.28932513431073","1.71779161883743","0.69598627099247","0.69598627099247","1","weekday","0","0","430"
"S312425","440","450","358.693894844065","119.725671179709","2.99596478607886","1.58302066677131","0.666217705679777","0.666217705679777","1","weekday","0","0","440"
"S312425","450","460","339.057833693203","127.622086556808","2.65673319439328","1.40965335072905","0.623597882500817","0.623597882500817","1","weekday","0","0","450"
"S312425","460","470","322.408287410947","136.802048094024","2.35675044272258","1.23679899910229","0.575686936608879","0.575686936608879","1","weekday","0","0","460"
"S312425","470","480","317.056834687916","147.226457590413","2.15353164014837","1.1067045201202","0.535646478855026","0.535646478855026","1","weekday","0","0","470"
"S312425","480","490","322.531933890155","159.095070896159","2.02729055069639","1.01955287025981","0.506730794134814","0.506730794134814","1","weekday","0","0","480"
"S312425","490","500","330.218728544779","172.511761710255","1.91418095364073","0.936727218841839","0.477583350676425","0.477583350676425","1","weekday","0","0","490"
"S312425","500","510","328.84352106041","187.126974224986","1.75732826559273","0.813383709221858","0.430954352934903","0.430954352934903","1","weekday","0","0","500"
"S312425","510","520","309.79099101262","202.356933205677","1.53091364899144","0.614392910084489","0.346795294000546","0.346795294000546","1","weekday","0","0","510"
"S312425","520","530","278.580215744224","217.592766009539","1.28028252433728","0.356462209822281","0.218922401117967","0.218922401117967","1","weekday","0.02","0.0280544993662864","520"
"S312425","530","540","250.933621839015","232.429679941631","1.07961092534323","0.110511481638359","0.0737403850539168","0.0737403850539168","1","weekday","0.3","0.386637554585153","530"
"S312425","540","550","237.561943150849","247.147120841152","0.961216713115327","-0.0570663614019214","-0.0387832868846713","0.0387832868846713","-1","weekend","0.72","0.74074831512898","540"
"S312425","550","560","237.172199821938","261.810180839265","0.905893724459657","-0.142586285441764","-0.0941062755403529","0.0941062755403529","-1","weekend","0.26","0.338137485311398","550"
