"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_main","sub_least_square_main","GCTA_main","GCTA_inter","prop_main","prop_inter","sub_GCTA_main","sub_GCTA_inter","sub_prop_main","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","n_sub","inter_std","sigma_main_approx","i"
39.9391014221924,0,0,39.9391014221924,35.2591772402877,36.0346822391915,118.298867227188,0,35.2563320319824,0,71.2286204713115,0,35.9905837971969,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,28.1845569082935,118.298867227188,0,35.2563320319824,0,73.7360199462903,0,28.123447497929,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,38.7735616177845,118.298867227188,0,35.2563320319824,0,94.8187275797006,0,38.7411743643418,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,35.4544984081252,118.298867227188,0,35.2563320319824,0,86.6789312050791,0,35.384150001661,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,28.2490154018145,118.298867227188,0,35.2563320319824,0,63.3730981825647,0,28.5193111029956,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,34.3328578792229,118.298867227188,0,35.2563320319824,0,88.7691301353337,0,34.3536981316908,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,30.8461967819903,118.298867227188,0,35.2563320319824,0,109.287710212193,0,30.888517916069,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,29.3741612828724,118.298867227188,0,35.2563320319824,0,84.7754966045707,0,29.3403129659784,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,32.42613852863,118.298867227188,0,35.2563320319824,0,101.741738935604,0,32.5138340816662,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,43.2032900432673,118.298867227188,0,35.2563320319824,0,116.88287317016,0,43.416181298321,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,29.1489192264423,118.298867227188,0,35.2563320319824,0,87.4967727710669,0,29.1227702911692,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,45.0298272752566,118.298867227188,0,35.2563320319824,0,138.239070591473,0,45.1054631326599,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,35.3485058843587,118.298867227188,0,35.2563320319824,0,98.5756651036805,0,35.3060312203519,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,36.8058114999826,118.298867227188,0,35.2563320319824,0,116.72703794027,0,36.7394938820623,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,32.3192948375638,118.298867227188,0,35.2563320319824,0,121.894727015185,0,32.2872386824172,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,31.8341288574694,118.298867227188,0,35.2563320319824,0,90.1631801089927,0,31.7634250245502,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,32.4690480756582,118.298867227188,0,35.2563320319824,0,83.9868646665035,0,32.4495583568305,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,31.3677122061157,118.298867227188,0,35.2563320319824,0,82.9229932101891,0,31.4262868700597,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,26.5044164636075,118.298867227188,0,35.2563320319824,0,92.6999653993737,0,26.8830207956786,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
39.9391014221924,0,0,39.9391014221924,35.2591772402877,37.961506731234,118.298867227188,0,35.2563320319824,0,95.2775014608502,0,38.055896410203,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,23
