"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","prop_total","prop_inter","sub_GCTA_total","sub_GCTA_inter","sub_prop_total","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","sigma_main_approx","i"
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,11.779496941915,8.1650009117844,15.3939929720456,10.806642313967,0,19.7896362970501,0,11.9888870878348,0,0,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,11.5455053266742,8.0885134809056,15.0024971724429,10.806642313967,0,19.7896362970501,0,11.4809329525615,0,40.0174392967501,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,13.5434568242498,10.1210953833615,16.965818265138,10.806642313967,0,19.7896362970501,0,13.2390024241406,0,0,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,12.5075434789741,8.80252339737397,16.2125635605742,10.806642313967,0,19.7896362970501,0,12.7570927945154,0,0,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,8.70201784099677,5.58916168990572,11.8148739920878,10.806642313967,0,19.7896362970501,0,8.51855625366121,0,0,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,10.0937357616045,6.94896653558906,13.2385049876199,10.806642313967,0,19.7896362970501,0,9.86081759170931,0,36.6445272256316,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,16.6499596523482,12.5474973223944,20.7524219823021,10.806642313967,0,19.7896362970501,0,16.7857558433939,0,47.5625273611552,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,10.1753571895498,6.33259808719721,14.0181162919025,10.806642313967,0,19.7896362970501,0,10.4858630805493,0,44.4010322617422,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,10.5727643674018,7.61404875156311,13.5314799832405,10.806642313967,0,19.7896362970501,0,10.5185289879816,0,0,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,8.41896522071664,5.39754944339055,11.4403809980427,10.806642313967,0,19.7896362970501,0,8.71241940502978,0,0,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,13.7098062625912,10.2202895639227,17.1993229612597,10.806642313967,0,19.7896362970501,0,13.5567885835073,0,39.8021040539014,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,12.2751217626663,8.87223091999713,15.6780126053355,10.806642313967,0,19.7896362970501,0,11.3694755157187,0,39.2179775242464,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
7.34870866136705,1.83861124054595,-0.0176652618601407,9.15198937819271,10.6843511352411,8.34158780589568,13.0271144645865,11.1494916581907,7.92078285337611,14.3782004630053,10.806642313967,0,19.7896362970501,0,11.1640101866742,0,37.4126697423915,0,"chi","I",33,561,0.5,0,0.1,0,FALSE,0,TRUE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.0024794110518174,82
