"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","h_EigenPrism_total","h_EigenPrism_CI1","h_EigenPrism_CI2","sub_h_EigenPrism_total","sub_h_EigenPrism_CI1","sub_h_EigenPrism_CI2","h_GCTA_total","h_GCTA_inter","sub_h_GCTA_total","sub_h_GCTA_inter","x_dist","structure","p","n","data_name","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.13940568226058,0.676418330211266,1.60239303430989,0.790897524362758,0,0.787362841252048,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.30220612091054,0.832008814877722,1.77240342694336,0.790897524362758,0,0.911502316740756,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.20819937126427,0.744649091592064,1.67174965093648,0.790897524362758,0,0.863136468691109,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.159976201542,0.693755767468523,1.62619663561548,0.790897524362758,0,0.794867172999214,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.1028654106429,0.639437339622164,1.56629348166364,0.790897524362758,0,0.777787929488708,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.2262697144304,0.762506755673678,1.69003267318713,0.790897524362758,0,0.858557613010284,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.11921767239913,0.65550916948872,1.58292617530954,0.790897524362758,0,0.757882548498214,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.11127992585232,0.647662512545621,1.57489733915901,0.790897524362758,0,0.740377006172714,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.15853496853823,0.694892151678915,1.62217778539755,0.790897524362758,0,0.809951176724301,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.13609018987284,0.672362757267572,1.59981762247811,0.790897524362758,0,0.79127413004009,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.12279902984963,0.658935479084092,1.58666258061516,0.790897524362758,0,0.771341687578021,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.13533769491994,0.672252448418786,1.5984229414211,0.790897524362758,0,0.780531270308457,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.26171737870274,0.798117174506779,1.72531758289871,0.790897524362758,0,0.918847593400364,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,0.759903340789781,0.31212979756758,1.20767688401198,0.790897524362758,0,0.491092512434892,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.1429779919283,0.679424090210208,1.60653189364639,0.790897524362758,0,0.781494483265942,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.03279632087772,0.568675181437778,1.49691746031767,0.790897524362758,0,0.711441578271714,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
8,2,0.621633104446795,11.2432662088936,1.14656311304792,0.68381927884033,1.60930694725551,1.16214332778434,0.698337630178473,1.6259490253902,0.790897524362758,0,0.814093254133831,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,27
