"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","prop_main","prop_inter","sub_GCTA_main","sub_GCTA_inter","sub_prop_main","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","reduce_coef","decor","interact","combine","pro","n_sub","inter_std","sigma_main_approx","i"
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,50.1692823620696,18.4769275108056,81.8616372133337,72.0007497578169,0,43.2178094276158,0,66.174560133439,0,47.1735887096241,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,38.3032565867882,13.4063477255999,63.2001654479765,72.0007497578169,0,43.2178094276158,0,53.3472259064387,0,35.6622862399709,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,43.1573235465057,14.4508835849843,71.8637635080271,72.0007497578169,0,43.2178094276158,0,68.8338555002271,0,39.8608171318868,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,40.5324083624078,12.9956199806758,68.0691967441398,72.0007497578169,0,43.2178094276158,0,63.8939576702321,0,37.0892485633521,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,51.1664000187672,18.6221545811375,83.7106454563968,72.0007497578169,0,43.2178094276158,0,75.7928293244881,0,48.1289983080728,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,50.6488547285075,17.0166571725756,84.2810522844394,72.0007497578169,0,43.2178094276158,0,101.865161917304,0,46.8478636485488,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,42.8314031369142,14.6011043547379,71.0617019190905,72.0007497578169,0,43.2178094276158,0,69.7180471273766,0,39.7187292874427,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,38.4494190511699,11.8967993034661,65.0020387988736,72.0007497578169,0,43.2178094276158,0,58.0449782248672,0,34.9502123552266,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,51.6498065759961,19.6041984634869,83.6954146885053,72.0007497578169,0,43.2178094276158,0,79.0032913993122,0,49.0435652595005,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,48.9477981330907,18.2968607965064,79.5987354696749,72.0007497578169,0,43.2178094276158,0,77.2633609307301,0,46.3247941789799,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,37.1139443539033,11.9039747475576,62.3239139602491,72.0007497578169,0,43.2178094276158,0,67.6450838331369,0,33.9879094900123,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,44.5610350735293,15.0466665275783,74.0754036194802,72.0007497578169,0,43.2178094276158,0,86.7278847421009,0,41.1340767420722,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,41.5584436882675,13.2302038945752,69.8866834819598,72.0007497578169,0,43.2178094276158,0,73.7296795798983,0,37.8991722829567,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,51.6488406676808,19.7255352617658,83.5721460735959,72.0007497578169,0,43.2178094276158,0,67.483872066973,0,49.1429724464239,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
39.9391014221924,0,0,39.9391014221924,44.7500214674122,14.6661893976236,74.8338535372008,49.0938462598468,17.340188555975,80.8475039637185,72.0007497578169,0,43.2178094276158,0,76.1433418297787,0,45.8431420437254,0,"chi","un",33,264,0.5,0,0,0,0.9,TRUE,0,FALSE,0.5,200,TRUE,0.00225743825825325,73
