"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.9127033198598,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.8185434288588,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.8349194295988,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.8492547109452,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.8682304810464,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.7896966344709,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.7988446884963,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.8688215272737,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.8787340006626,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,NA,NA,NA,NA,NA,NA,11.8576141964137,0,11.8414645615538,0,"chi","un",21,500,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",500,0.5,1e+05,FALSE,1
