"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6956810769507,5.69400035830113,15.6973617956003,11.2528605165765,0,11.2761017723598,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,11.4087560366478,6.53088954152999,16.2866225317657,11.2528605165765,0,11.7726769252157,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.4451644546446,5.45343854106542,15.4368903682238,11.2528605165765,0,11.2489396944845,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.7682972724641,5.77000858046595,15.7665859644623,11.2528605165765,0,11.3566994175666,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6341369032702,5.63442417061487,15.6338496359255,11.2528605165765,0,11.3216154209594,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6192134781584,5.69660704901938,15.5418199072975,11.2528605165765,0,11.4551434743226,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6354732901871,5.64188110382752,15.6290654765467,11.2528605165765,0,11.3201608774087,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.530391619791,5.52938247294713,15.5314007666349,11.2528605165765,0,11.2440042679433,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6163598444048,5.61231968037389,15.6204000084357,11.2528605165765,0,11.4043355246958,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6172043438617,5.63501868241789,15.5993900053055,11.2528605165765,0,11.3235954286174,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.2674005896783,5.26958994240871,15.2652112369479,11.2528605165765,0,11.2132958480279,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.4885892488495,5.4849185303651,15.4922599673339,11.2528605165765,0,11.3001399093074,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,11.0752529541909,6.0891510457393,16.0613548626424,11.2528605165765,0,11.4773460883848,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5996772329764,5.63543128190403,15.5639231840488,11.2528605165765,0,11.2419982819338,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6228509504588,5.62776490520055,15.6179369957171,11.2528605165765,0,11.2627164719947,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5177984953369,5.59286221368913,15.4427347769846,11.2528605165765,0,11.2131912326114,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
