"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","prop_main","prop_inter","sub_GCTA_main","sub_GCTA_inter","sub_prop_main","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","n_sub","inter_std","sigma_main_approx","i"
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,107.495167874452,75.5390474992873,139.451288249617,99.2394362905552,0,43.0451455999176,0,99.414255399391,0,43.0733266261005,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,80.1225310116138,0,44.2078659306858,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,69.8136918222563,0,33.0682088087793,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,93.5260404388211,0,43.882892153251,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,69.5522197422536,0,38.674042755693,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,91.5796137034435,62.9234683801733,120.235759026714,99.2394362905552,0,43.0451455999176,0,81.5343311303686,0,38.4164185027862,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,141.870511580455,103.723006415165,180.018016745745,99.2394362905552,0,43.0451455999176,0,126.726195969776,0,56.0683645138754,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,94.6303748631564,0,41.5864760345024,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,88.4587583650814,0,40.3381541161048,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,102.495720557137,0,48.2849439418624,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,134.561229640898,0,45.9283835938201,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,121.996606642825,0,47.3059661016168,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,115.421062408549,84.852501766126,145.989623050972,99.2394362905552,0,43.0451455999176,0,101.306981148659,0,40.2817531486002,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,77.0166240418297,0,38.8688997185593,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,130.489933904051,89.5723684127723,171.40749939533,99.2394362905552,0,43.0451455999176,0,118.719496909789,0,58.5081849264521,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,103.042459327602,0,45.075005480933,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,54.8395525055354,0,26.2091995831188,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
39.9391014221924,0,0,39.9391014221924,NA,NA,NA,NA,NA,NA,99.2394362905552,0,43.0451455999176,0,136.635837759781,0,53.60945459005,0,"chi","un",33,528,0.5,0,0,0,FALSE,0,FALSE,0.5,200,TRUE,0.00225743825825325,64
