"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","GCTA_rr_main","sub_GCTA_rr_main","i_1","i_2","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","interact","decor","combine","pro","bs","n_sub","rho_e","emp_n","i"
8,0,0,0,8.56053317646591,0,8.85103083370114,0,8.58036074062716,8.80899092887117,1,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.55302887864788,0,8.58036074062716,8.60876893043231,2,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.66043402765153,0,8.58036074062716,8.61039666288699,3,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.55288824582569,0,8.58036074062716,8.58019137429189,4,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.58791679323232,0,8.58036074062716,8.48243416734147,5,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.50521980153459,0,8.58036074062716,8.54590834753257,6,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.46397781058504,0,8.58036074062716,8.44723485952352,7,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.56901718230313,0,8.58036074062716,8.46843335191284,8,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.66446765158201,0,8.58036074062716,8.70958328916521,9,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.53607407109299,0,8.58036074062716,8.57351779390921,10,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.51624636573594,0,8.58036074062716,8.57413080831847,11,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.54443211528928,0,8.58036074062716,8.59393352697487,12,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.76785972645684,0,8.58036074062716,8.7746409650514,13,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.53997051844503,0,8.58036074062716,8.58728296085125,14,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.65960274645945,0,8.58036074062716,8.63738796161806,15,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
8,0,0,0,8.56053317646591,0,8.6356503370048,0,8.58036074062716,8.66582525886445,16,0,"normal","I",100,200,0.5,0,0,0,0,FALSE,FALSE,1012,"leave-1-2",20100,0.5,1e+05,1
