"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_total","sub_least_square_total","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.10311859966216,9.47540783593543,0,9.48002557054012,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.12071530770644,9.47540783593543,0,9.4852916039288,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.14470786627778,9.47540783593543,0,9.50103372929246,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,8.99556922154668,9.47540783593543,0,9.37516028039341,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.15035523780846,9.47540783593543,0,9.51314914908988,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.09250037665942,9.47540783593543,0,9.46475641885176,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.10177084447258,9.47540783593543,0,9.47034236698009,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.10585842110967,9.47540783593543,0,9.46447819531968,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.11888437087534,9.47540783593543,0,9.47653337163566,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
8,2,-0.00182706513002104,9.99634586973996,9.1055430035375,9.07524566731269,9.47540783593543,0,9.45284337636843,0,"normal","un",33,1000,0.5,0,0.1,0,TRUE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,6
