"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","GCTA_total","GCTA_interaction","prop_total","prop_interaction","sub_GCTA_total","sub_GCTA_interaction","sub_prop_total","sub_prop_interaction","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","interaction_m","combine","pro","n_sub","inter_std","i"
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,146.738509742225,0,37.7489148291127,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,115.363250816777,0,33.5155005729254,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,129.796222377257,0,42.9485136567057,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,136.389988791299,0,42.7764410195755,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,129.295345176535,0,42.0946929558114,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,117.683322818771,0,40.9641608764944,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,143.486809582888,0,42.0567727955017,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,115.667301648568,0,43.4552987995408,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,122.6201080621,0,40.7515938352501,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
28.6370523527679,11.76341619686,-0.0495642565207526,40.3509042931072,136.233548265086,0,40.4448925686166,0,138.333655441221,0,41.906210915563,0,"Normal","un",33,1500,0.5,0,0.1,0,0,TRUE,0.5,10,TRUE,10
