"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","combine","pro","n_sub","inter_std","i"
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,98.5231269263808,38.8931350412813,158.15311881148,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,97.2935264868355,44.9968526480747,149.590200325596,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,94.6921087267679,38.4640848227364,150.920132630799,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,80.8741257834953,41.0473730102071,120.700878556784,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,89.5850569050234,32.1838291473331,146.986284662714,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,114.437357686374,51.5191078283022,177.355607544446,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,97.8008188892342,38.2610693309644,157.340568447504,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,100.5320994493,50.0082845458948,151.055914352705,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,104.842633250636,46.3420151498838,163.343251351389,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,105.390257573398,50.4114434475552,160.369071699241,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,112.05317605131,47.1380953430612,176.968256759559,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,103.249559585116,45.2091715372143,161.289947633017,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,114.323323999848,57.0255029164538,171.621145083243,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,83.2197359382646,35.6805771324351,130.758894744094,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,109.957860286454,47.6437008951109,172.272019677797,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,96.3856162183304,44.4901789930852,148.281053443576,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,97.1003388840999,44.0524551938972,150.148222574303,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,123.414438257791,63.9010364405594,182.927840075022,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,111.937902070977,44.804944540047,179.070859601908,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,117.204475088293,58.2657973259905,176.143152850596,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,106.492749207553,44.7143001825859,168.27119823252,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,92.3351329893701,33.2803606483614,151.389905330379,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,97.0755020848504,42.982905956256,151.168098213445,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,110.164782170129,42.802148798904,177.527415541354,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
106.757851488467,0,0,106.757851488467,98.9972025602073,40.7293852799573,157.265019840457,110.838678939251,47.4085337449996,174.268824133503,"chi","I",33,250,0.5,0,0,0,FALSE,0.5,200,TRUE,33
