"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","h_EigenPrism_total","h_EigenPrism_CI1","h_EigenPrism_CI2","sub_h_EigenPrism_total","sub_h_EigenPrism_CI1","sub_h_EigenPrism_CI2","sub_h_EigenPrism_total.1","sub_h_EigenPrism_CI1.1","sub_h_EigenPrism_CI2.1","sub_sub_h_EigenPrism_total","sub_sub_h_EigenPrism_CI1","sub_sub_h_EigenPrism_CI2","h_GCTA_total","h_GCTA_inter","sub_h_GCTA_total","sub_h_GCTA_inter","sub_h_GCTA_total.1","sub_h_GCTA_inter.1","sub_sub_h_GCTA_total","sub_sub_h_GCTA_inter","x_dist","structure","p","n","data_name","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.54817795554492,1.08383232676174,2.01252358432809,1.54817795554492,1.08383232676174,2.01252358432809,1.5377045014135,0,1.5377045014135,0,1.24976896695506,0,1.24976896695506,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.620102332791,1.16509080133734,2.07511386424467,1.620102332791,1.16509080133734,2.07511386424467,1.5377045014135,0,1.5377045014135,0,1.48464628284387,0,1.48464628284387,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.6006708244431,1.14543760071054,2.05590404817566,1.6006708244431,1.14543760071054,2.05590404817566,1.5377045014135,0,1.5377045014135,0,1.47783881296977,0,1.47783881296977,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.61228733686423,1.15685648925968,2.06771818446879,1.61228733686423,1.15685648925968,2.06771818446879,1.5377045014135,0,1.5377045014135,0,1.47910162814149,0,1.47910162814149,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62667559663341,1.17161226085908,2.08173893240775,1.62667559663341,1.17161226085908,2.08173893240775,1.5377045014135,0,1.5377045014135,0,1.50950776789721,0,1.50950776789721,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.54480899687077,1.09205052098793,1.9975674727536,1.54480899687077,1.09205052098793,1.9975674727536,1.5377045014135,0,1.5377045014135,0,1.46115953301644,0,1.46115953301644,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62689076306703,1.17167806580317,2.08210346033089,1.62689076306703,1.17167806580317,2.08210346033089,1.5377045014135,0,1.5377045014135,0,1.48936706354547,0,1.48936706354547,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62684606003232,1.17144894966856,2.08224317039607,1.62684606003232,1.17144894966856,2.08224317039607,1.5377045014135,0,1.5377045014135,0,1.48737276867341,0,1.48737276867341,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.61613686657922,1.16100510707612,2.07126862608233,1.61613686657922,1.16100510707612,2.07126862608233,1.5377045014135,0,1.5377045014135,0,1.47575500379021,0,1.47575500379021,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.61507985858301,1.15994678107519,2.07021293609084,1.61507985858301,1.15994678107519,2.07021293609084,1.5377045014135,0,1.5377045014135,0,1.49450007989174,0,1.49450007989174,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62307858228947,1.16813557213472,2.07802159244422,1.62307858228947,1.16813557213472,2.07802159244422,1.5377045014135,0,1.5377045014135,0,1.48804442526865,0,1.48804442526865,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.45857164454849,1.00830866602848,1.9088346230685,1.45857164454849,1.00830866602848,1.9088346230685,1.5377045014135,0,1.5377045014135,0,1.34852392828642,0,1.34852392828642,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
