"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","data_name","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.3495067858306,10.0879715014799,22.6110420701812,16.6675692095947,0,16.6981948348751,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.5988491440549,10.3153096010849,22.8823886870249,16.6675692095947,0,16.72765291211,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.4856546173452,10.19451047367,22.7767987610204,16.6675692095947,0,16.7496835266609,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.5208522885708,10.227638404533,22.8140661726086,16.6675692095947,0,16.7500100326219,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.8128991839947,10.5073017029647,23.1184966650248,16.6675692095947,0,17.0399809663988,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.806426181641,10.5911350324384,23.0217173308436,16.6675692095947,0,16.8574442694092,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.5028074535826,10.2043958952954,22.8012190118698,16.6675692095947,0,16.7625221869772,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.4228822151222,10.1233804044496,22.7223840257949,16.6675692095947,0,16.7364456763663,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.6976786994108,10.3889626614778,23.0063947373437,16.6675692095947,0,16.9324116457785,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,17.7218644843891,11.4984839454846,23.9452450232937,16.6675692095947,0,18.108656326116,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.5277008440687,10.2089502873093,22.8464514008281,16.6675692095947,0,16.8302507954586,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.4398190679308,10.1829741885457,22.6966639473158,16.6675692095947,0,16.6726251517477,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.4191069708896,10.1222719065128,22.7159420352665,16.6675692095947,0,16.7430974767396,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.7575176273918,10.4472110693797,23.0678241854039,16.6675692095947,0,16.9305315383492,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.561868766678,10.2755502784907,22.8481872548653,16.6675692095947,0,16.7681406049212,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,16.394105986951,10.1739850630349,22.6142269108671,16.9132381710787,10.6237074241337,23.2027689180238,16.6675692095947,0,17.0997267873131,0,"1999","un",21,100,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",100,0.5,4873,FALSE,25
