"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","data_name","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.01016276804545,-5.83948972948169,7.8598152655726,4.1558074697296,0,4.17175681909643,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.99512567778877,-4.74036415562295,8.7306155112005,4.1558074697296,0,4.37133455170454,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.775023302677136,-5.9741764085647,7.52422301391897,4.1558074697296,0,4.13376848717437,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.695854297860639,-6.10046608194586,7.49217467766713,4.1558074697296,0,4.09152661011932,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.19660947569185,-5.64400970035073,8.03722865173442,4.1558074697296,0,4.15732867945066,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.4996913799124,-5.3505188493101,8.34990160913491,4.1558074697296,0,4.30757259163689,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,-0.113141753959916,-6.78678898428132,6.56050547636148,4.1558074697296,0,3.81316363952407,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.862122585504081,-5.93211682696812,7.65636199797628,4.1558074697296,0,4.04982693559647,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.51790245667898,-5.28608541613657,8.32189032949452,4.1558074697296,0,4.16285935643741,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.00934682220679,-5.84142372782825,7.86011737224183,4.1558074697296,0,4.1762636964787,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.1835332028067,-5.65833662626406,8.02540303187746,4.1558074697296,0,4.23631820876726,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.970470632666239,-5.82077140477998,7.76171267011246,4.1558074697296,0,4.23471935271487,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.811917744454676,-5.91514851558618,7.53898400449553,4.1558074697296,0,4.06952781584402,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.922877676407187,-5.60155896911789,7.44731432193227,4.1558074697296,0,3.40013613858873,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.11995631465461,-5.70102671367183,7.94093934298104,4.1558074697296,0,4.19770133762652,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,2.00156707292368,-4.8263526312198,8.82948677706716,4.1558074697296,0,4.62500575763617,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.01596111211329,-5.83777814579074,7.86970037001733,4.1558074697296,0,4.17482070839799,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.48173678764308,-5.35001533020362,8.31348890548977,4.1558074697296,0,4.25409884076773,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.17968572708934,-5.67026222358066,8.02963367775935,4.1558074697296,0,4.21054163942566,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.14645454619501,-5.70623105829885,7.99914015068888,4.1558074697296,0,4.20645795246184,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.3089140552361,-5.60460272402462,8.22243083449681,4.1558074697296,0,4.24379595079856,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.834973035078971,-5.91566729287849,7.58561336303643,4.1558074697296,0,3.82416358205919,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.842755746942817,-5.9478036115681,7.63331510545374,4.1558074697296,0,4.10638432439147,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.10599619493818,-5.73243196109107,7.94442435096743,4.1558074697296,0,4.24067891162877,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.01235197900272,-5.83854267621633,7.86324663422177,4.1558074697296,0,4.1710828225832,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.862558614989744,-5.92662973167948,7.65174696165897,4.1558074697296,0,4.03567269407289,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.05107017171936,-5.74355967602235,7.84570001946107,4.1558074697296,0,4.14919189919549,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.787558672650463,-6.08549209670576,7.66060944200668,4.1558074697296,0,4.19987686601462,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.00566472265321,-5.84179433237721,7.85312377768363,4.1558074697296,0,4.18065334707739,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.23895369788344,-5.58597328997733,8.06388068574421,4.1558074697296,0,4.12992356478017,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.00876017212904,-5.83457269384251,7.85209303810058,4.1558074697296,0,4.2022729083062,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.21292676400956,-5.63980162324723,8.06565515126635,4.1558074697296,0,4.20416732033445,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.05623818170682,-5.79398609569474,7.90646245910839,4.1558074697296,0,4.1617458961169,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.33932201983116,-5.29195414704411,7.97059818670643,4.1558074697296,0,4.32791264776509,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.978677936800495,-5.86444701368915,7.82180288729014,4.1558074697296,0,4.19325831230768,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.817806491611883,-5.94930135631913,7.58491433954289,4.1558074697296,0,4.06049086248156,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,2.78338923491313,-3.93827194257085,9.50505041239711,4.1558074697296,0,4.57555669875642,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.573350574926861,-5.76333393657909,6.91003508643282,4.1558074697296,0,3.81596782601003,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.52118416158889,-5.30780617070036,8.35017449387815,4.1558074697296,0,4.29011687006665,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,-0.046406801984328,-5.18292167762718,5.09010807365852,4.1558074697296,0,2.68816345527756,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.04063044411413,-5.7870249107234,7.86828579895166,4.1558074697296,0,4.13616615439381,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.937878459926652,-5.97604474748009,7.85180166733339,4.1558074697296,0,4.11749054773931,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.23052409515244,-5.44058778445578,7.90163597476067,4.1558074697296,0,4.13925365370738,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.978740241195945,-5.80675943182678,7.76423991421867,4.1558074697296,0,4.05476986460095,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.05769285077562,-5.78496386820365,7.90034956975489,4.1558074697296,0,4.19882661510471,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.08055080929533,-5.76167658636869,7.92277820495935,4.1558074697296,0,4.14369692076169,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,0.997892940662859,-5.85674023896359,7.8525261202893,4.1558074697296,0,4.13685869490066,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
8,2,0.621633104446795,11.2432662088936,1.07949734053823,-5.69393714082356,7.85293182190001,1.49943850001735,-5.37142780373442,8.37030480376912,4.1558074697296,0,4.25945864290952,0,"1999","un",21,100,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",100,0.5,4873,FALSE,7
