"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","prop_main","prop_inter","sub_GCTA_main","sub_GCTA_inter","sub_prop_main","sub_prop_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","sigma_main_approx","i"
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,8.84788940225157,3.1414439623621,14.554334842141,9.92182639206116,0,9.86817948004052,0,7.4678419001262,0,7.31341231648522,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,11.3596458343718,5.5196409683778,17.1996507003657,9.92182639206116,0,9.86817948004052,0,9.7943115479583,0,9.01197944586396,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,12.4018663560454,5.96244762657074,18.84128508552,9.92182639206116,0,9.86817948004052,0,11.0769258228412,0,10.6266546904167,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,12.4097299721073,5.89892806452113,18.9205318796935,9.92182639206116,0,9.86817948004052,0,11.2344748597262,0,11.3321869067906,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,11.0473338346353,4.90409326303038,17.1905744062403,9.92182639206116,0,9.86817948004052,0,9.5197390163965,0,9.06600556107788,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,9.93106278885593,4.16484272176494,15.6972828559469,9.92182639206116,0,9.86817948004052,0,8.40800925165644,0,7.83473922804642,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,12.7257576341364,5.74787820896126,19.7036370593115,9.92182639206116,0,9.86817948004052,0,11.2292086413971,0,11.1759630583678,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,11.2299683313092,4.87918335348642,17.5807533091319,9.92182639206116,0,9.86817948004052,0,9.84528214658755,0,9.59499421464165,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,13.0897796266772,5.94161489823944,20.237944355115,9.92182639206116,0,9.86817948004052,0,11.8944306271272,0,12.4305698478462,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,11.055313452411,4.30790029119712,17.802726613625,9.92182639206116,0,9.86817948004052,0,9.91949525913844,0,10.6561570518699,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,10.5037758080463,3.87648466531295,17.1310669507797,9.92182639206116,0,9.86817948004052,0,9.04354917293729,0,9.29588991126764,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,12.6687230069217,5.89054551470294,19.4469004991405,9.92182639206116,0,9.86817948004052,0,10.9098269211493,0,10.422253936943,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,11.3510318241663,4.97040554431388,17.7316581040187,9.92182639206116,0,9.86817948004052,0,9.97397820629448,0,9.87851620974035,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
10.0931601044708,0,0,10.0931601044708,10.5672337515204,4.10313804551186,17.0313294575289,13.4268747833035,6.67834775246625,20.1754018141407,9.92182639206116,0,9.86817948004052,0,12.1882028698893,0,12.0007538141669,0,"chi","I",33,561,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,0.00250735144056588,46
